Dấu thời gian,doi_tuong,dia_diem,mon_gioi,mon_yeu,diem_gan_nhat,to_hop_du_dinh,to_hop_clean,diem_du_doan,muc_dich,target_list,khao_khat_clean
2026/04/02 11:51:25 SA GMT+7,Lớp 12,Miền Nam,"['Văn', 'Anh']","['Toán', 'Lý']",[8.0 - 9.0),"Toán , vật lý , tiếng anh",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Không
2026/04/02 11:51:58 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Hóa']",['Văn'],[8.0 - 9.0),Toán Lí Hoá,['INVALID'],[21 - 24),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""']",Muốn sau này có cuộc sống tốt
2026/04/02 11:52:02 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Anh']",['Lý'],[7.0 - 8.0),A00 và A01,"['A00', 'A01']",[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/02 11:54:21 SA GMT+7,Lớp 10,Miền Trung,['Anh'],"['Toán', 'Lý']",[7.0 - 8.0),em đang có xu hướng chọn cao nhất,['INVALID'],[18 - 21),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",muốn so sánh điểm với bạn bè
2026/04/02 11:58:04 SA GMT+7,Lớp 12,Miền Nam,"['Toán', 'Anh']",[],[9.0 - 10.0],A01,['A01'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Phân tích phổ điểm']",
2026/04/02 11:58:05 SA GMT+7,Lớp 11,Miền Nam,[],[],[6.0 - 7.0),"sinh,hoá",['INVALID'],[18 - 21),Khác,['Custom: đạt kết quá mong muốn và đậu ngôi trường mình chọn'],
2026/04/02 11:58:42 SA GMT+7,Lớp 10,Miền Nam,['Địa'],"['Toán', 'Văn', 'Anh']",[6.0 - 7.0),DO1,['INVALID'],[18 - 21),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Đậu trường mong muốn
2026/04/02 11:59:30 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn']","['Toán', 'Anh']",Mình đang là học sinh lớp 10 nên chưa biết,"D01: Toán, Văn, Anh",['D01'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",“Mình muốn biết cơ hội đậu đại học và năng lực mình tới đâu
2026/04/02 12:00:10 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Hóa']",['Toán'],Mình đang là học sinh lớp 10 nên chưa biết,Toán-lý-hoá,['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Thứ hạng ước tính']",
2026/04/02 12:03:28 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Hóa']","['Văn', 'Sinh']",Mình đang là học sinh lớp 10 nên chưa biết,A00 hoặc B00,"['A00', 'B00']",[24 - 27),Khác,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính']",
2026/04/02 12:04:41 CH GMT+7,Lớp 10,Miền Nam,"['Lý', 'Hóa']","['Anh', 'Tin', 'Sinh']",[7.0 - 8.0),"Toán, lý ,hoá, văn",['INVALID'],[18 - 21),Khác,"['Xác suất ""an toàn""']",Khoe
2026/04/02 12:06:47 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Địa']","['Toán', 'Anh']",Mình đang là học sinh lớp 10 nên chưa biết,C04,['C04'],[21 - 24),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""']",
